"filename", "language", "Typst", "comment", "blank", "total"
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/Drivetrain-select-edp/BrainstormSolution.typ", "Typst", 227, 1, 11, 239
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/Drivetrain-select-edp/DecideDrivetrain.typ", "Typst", 72, 0, 2, 74
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/_frontmatters/How-to-use/how-to-use.typ", "Typst", 26, 0, 1, 27
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/_frontmatters/Snowflakes-EDP/snowflakes-edp.typ", "Typst", 65, 0, 3, 68
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/_frontmatters/frontmatters.typ", "Typst", 3, 0, 0, 3
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/_frontmatters/teamIntro/team-intro.typ", "Typst", 47, 2, 2, 51
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/entries.typ", "Typst", 5, 2, 2, 9
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/example-entry.typ", "Typst", 23, 2, 10, 35
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/game-analasys/game-analasys.typ", "Typst", 207, 0, 1, 208
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/programming-approach/PA-decide.typ", "Typst", 12, 0, 4, 16
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/programming-approach/all.typ", "Typst", 3, 0, 0, 3
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/programming-approach/programming-approach-brainstorm.typ", "Typst", 271, 14, 15, 300
"/Users/danieldew/Desktop/Snippets/full-backend-test/29457A-High-Stakes-Notebook/entries/programming-approach/programming-approach-identify.typ", "Typst", 27, 0, 6, 33
"Total", "-", 988, 21, 57, 1066
